"gene_id","gene_name","padj"
"ENSG00000198523.6","PLN",1.35253173733782e-09
"ENSG00000106617.15","PRKAG2",1.4254015107997e-09
"ENSG00000166923.12","GREM1",1.44385319516952e-09
"ENSG00000189430.13","NCR1",1.50191318549015e-09
"ENSG00000101695.9","RNF125",1.6206199858869e-09
"ENSG00000149596.7","JPH2",1.6206199858869e-09
"ENSG00000135248.15","FAM71F1",1.69072471747023e-09
"ENSG00000126351.13","THRA",1.71053958195665e-09
"ENSG00000123243.15","ITIH5",1.78127072852753e-09
"ENSG00000116741.8","RGS2",1.81851493223081e-09
"ENSG00000141052.18","MYOCD",1.93161179114009e-09
"ENSG00000172380.6","GNG12",1.95740964217734e-09
"ENSG00000198915.12","RASGEF1A",1.97112229676429e-09
"ENSG00000156261.13","CCT8",2.01719911142032e-09
"ENSG00000173641.18","HSPB7",2.10524256601553e-09
"ENSG00000115241.11","PPM1G",2.15116377866492e-09
"ENSG00000099399.6","MAGEB2",2.16404313588907e-09
"ENSG00000085563.15","ABCB1",2.18187313580374e-09
"ENSG00000179361.18","ARID3B",2.24882837766902e-09
"ENSG00000133980.5","VRTN",2.25201875083243e-09
"ENSG00000139304.16","PTPRQ",2.43259993590754e-09
"ENSG00000130726.12","TRIM28",2.50869085636395e-09
"ENSG00000064547.14","LPAR2",2.56205652365512e-09
"ENSG00000169282.18","KCNAB1",2.57920969548712e-09
"ENSG00000136244.12","IL6",2.60542184203897e-09
"ENSG00000091651.9","ORC6",2.760488736817e-09
"ENSG00000206557.6","TRIM71",2.88406159975434e-09
"ENSG00000196449.4","YRDC",2.91625563237013e-09
"ENSG00000142910.16","TINAGL1",2.98468507595109e-09
"ENSG00000163017.14","ACTG2",3.06073619638495e-09
"ENSG00000101361.17","NOP56",3.0884060441933e-09
"ENSG00000196172.9","ZNF681",3.24029946908605e-09
"ENSG00000100884.9","CPNE6",3.27812392726228e-09
"ENSG00000147432.7","CHRNB3",3.33328906419061e-09
"ENSG00000006634.8","DBF4",3.45001351433393e-09
"ENSG00000204710.2","SPDYC",3.48398873108622e-09
"ENSG00000170819.5","BFSP2",3.58480593248289e-09
"ENSG00000204406.14","MBD5",3.58480593248289e-09
"ENSG00000171794.4","UTF1",3.66632163471591e-09
"ENSG00000173262.12","SLC2A14",3.66632163471591e-09
"ENSG00000090932.11","DLL3",3.67783110583558e-09
"ENSG00000168496.4","FEN1",3.73729640469384e-09
"ENSG00000254858.10","MPV17L2",3.96647345276403e-09
"ENSG00000159753.14","CARMIL2",4.04142519101867e-09
"ENSG00000196923.14","PDLIM7",4.06622390784328e-09
"ENSG00000134758.14","RNF138",4.62883473771903e-09
"ENSG00000119969.15","HELLS",4.76679945370355e-09
"ENSG00000161609.10","KASH5",4.76710594677938e-09
"ENSG00000052749.14","RRP12",4.82154588464014e-09
"ENSG00000080007.8","DDX43",4.82154588464014e-09
"ENSG00000184635.16","ZNF93",4.95440625675685e-09
"ENSG00000123485.12","HJURP",5.00784703371678e-09
"ENSG00000239620.3","PRR20G",5.040571732405e-09
"ENSG00000160877.6","NACC1",5.05732285694349e-09
"ENSG00000187690.4","EZHIP",5.13826677346179e-09
"ENSG00000149054.16","ZNF215",5.53145178847176e-09
"ENSG00000262874.2","C19orf84",5.5537627683161e-09
"ENSG00000146731.11","CCT6A",5.73161489219701e-09
"ENSG00000138074.15","SLC5A6",5.90435000811728e-09
"ENSG00000115896.16","PLCL1",5.97451301208536e-09
"ENSG00000011454.18","RABGAP1",6.12297642843086e-09
"ENSG00000187720.14","THSD4",6.12297642843086e-09
"ENSG00000138363.15","ATIC",6.17131547861543e-09
"ENSG00000164299.7","SPZ1",6.23741914271072e-09
"ENSG00000106268.15","NUDT1",6.50109797882742e-09
"ENSG00000176566.5","DCAF4L2",6.73982013653211e-09
"ENSG00000103319.12","EEF2K",6.74801364303015e-09
"ENSG00000102996.5","MMP15",6.79545451742381e-09
"ENSG00000155906.19","RMND1",6.81040719658767e-09
"ENSG00000149554.13","CHEK1",6.85201445242234e-09
"ENSG00000203909.4","DPPA5",6.85201445242234e-09
"ENSG00000068976.14","PYGM",6.88728494328818e-09
"ENSG00000183023.18","SLC8A1",6.9758190415825e-09
"ENSG00000140519.14","RHCG",7.36335560704661e-09
"ENSG00000116691.11","MIIP",7.79074424263175e-09
"ENSG00000185686.18","PRAME",8.33685331432292e-09
"ENSG00000142405.22","NLRP12",8.38293397641953e-09
"ENSG00000138735.16","PDE5A",8.58204933826856e-09
"ENSG00000066248.15","NGEF",8.61154979516137e-09
"ENSG00000123975.5","CKS2",8.69098094695366e-09
"ENSG00000165410.15","CFL2",9.63884809235099e-09
"ENSG00000169213.7","RAB3B",9.93838040671356e-09
"ENSG00000182481.10","KPNA2",1.02846194134424e-08
"ENSG00000203907.9","OOEP",1.02846194134424e-08
"ENSG00000183527.12","PSMG1",1.03218571450727e-08
"ENSG00000136270.14","TBRG4",1.0407348591605e-08
"ENSG00000166527.8","CLEC4D",1.13676847919881e-08
"ENSG00000174718.12","RESF1",1.17105683944955e-08
"ENSG00000106392.11","C1GALT1",1.22347813614028e-08
"ENSG00000218819.6","TDRD15",1.22347813614028e-08
"ENSG00000105676.14","ARMC6",1.2360725050989e-08
"ENSG00000189410.12","SH2D5",1.25293729147585e-08
"ENSG00000143549.21","TPM3",1.27218724047113e-08
"ENSG00000164188.9","RANBP3L",1.28402756536388e-08
"ENSG00000152454.4","ZNF256",1.38845639661637e-08
"ENSG00000182173.13","TSEN54",1.38845639661637e-08
"ENSG00000145907.16","G3BP1",1.43014176009717e-08
"ENSG00000108849.8","PPY",1.47176680527263e-08
"ENSG00000165724.6","ZMYND19",1.51122362676732e-08
"ENSG00000091622.16","PITPNM3",1.53032947569776e-08
"ENSG00000170537.13","TMC7",1.55596549963408e-08
"ENSG00000180801.14","ARSJ",1.56757392703738e-08
"ENSG00000144230.16","GPR17",1.57683901791561e-08
"ENSG00000086300.16","SNX10",1.6059317643083e-08
"ENSG00000123136.15","DDX39A",1.65049390519634e-08
"ENSG00000125319.15","HROB",1.65713231357954e-08
"ENSG00000093009.11","CDC45",1.67363661641397e-08
"ENSG00000095627.9","TDRD1",1.76821629940582e-08
"ENSG00000152670.19","DDX4",1.76821629940582e-08
"ENSG00000162976.13","SLC66A3",1.76821629940582e-08
"ENSG00000169116.11","PARM1",1.7743156364913e-08
"ENSG00000146083.12","RNF44",1.80793450084376e-08
"ENSG00000166734.20","GOLM2",1.82429093472107e-08
"ENSG00000100297.16","MCM5",1.83285868239093e-08
"ENSG00000170153.11","RNF150",1.95624737432087e-08
"ENSG00000135912.11","TTLL4",1.9759651869329e-08
"ENSG00000137090.12","DMRT1",1.99793940670424e-08
"ENSG00000154814.14","OXNAD1",2.0031982454819e-08
"ENSG00000234511.10","C5orf58",2.00632985910157e-08
"ENSG00000185052.12","SLC24A3",2.01136291259947e-08
"ENSG00000183741.12","CBX6",2.06528581850557e-08
"ENSG00000179046.8","TRIML2",2.07141575740845e-08
"ENSG00000177192.14","PUS1",2.12258466090782e-08
"ENSG00000118729.12","CASQ2",2.15210690545499e-08
"ENSG00000129911.9","KLF16",2.31489677970489e-08
"ENSG00000197321.15","SVIL",2.31489677970489e-08
"ENSG00000154330.13","PGM5",2.33400923809439e-08
"ENSG00000131979.20","GCH1",2.67517801696545e-08
"ENSG00000105889.16","STEAP1B",2.8595816432596e-08
"ENSG00000141905.19","NFIC",2.8595816432596e-08
"ENSG00000154553.16","PDLIM3",2.8595816432596e-08
"ENSG00000146453.13","PNLDC1",3.00703954190983e-08
"ENSG00000069998.12","HDHD5",3.04191646651908e-08
"ENSG00000180116.15","C12orf40",3.05091357858624e-08
"ENSG00000138646.9","HERC5",3.05760309351839e-08
"ENSG00000100721.11","TCL1A",3.13074296128087e-08
"ENSG00000173258.13","ZNF483",3.15796077187513e-08
"ENSG00000138035.15","PNPT1",3.27993893807974e-08
"ENSG00000136273.13","HUS1",3.30580422065217e-08
