,source,type,score,phase,gene_type,gene_name,level,hgnc_id,havana_gene
ENSG00000006128.12,HAVANA,gene,,,protein_coding,TAC1,2,HGNC:11517,OTTHUMG00000154069.4
ENSG00000006194.10,HAVANA,gene,,,protein_coding,ZNF263,1,HGNC:13056,OTTHUMG00000129323.4
ENSG00000006210.7,HAVANA,gene,,,protein_coding,CX3CL1,1,HGNC:10647,OTTHUMG00000133469.6
ENSG00000006282.21,HAVANA,gene,,,protein_coding,SPATA20,2,HGNC:26125,OTTHUMG00000162162.5
ENSG00000006283.18,HAVANA,gene,,,protein_coding,CACNA1G,2,HGNC:1394,OTTHUMG00000162180.8
ENSG00000006327.14,HAVANA,gene,,,protein_coding,TNFRSF12A,2,HGNC:18152,OTTHUMG00000129001.2
ENSG00000006377.11,HAVANA,gene,,,protein_coding,DLX6,2,HGNC:2919,OTTHUMG00000154201.7
ENSG00000006451.8,HAVANA,gene,,,protein_coding,RALA,2,HGNC:9839,OTTHUMG00000128775.5
ENSG00000006453.14,HAVANA,gene,,,protein_coding,BAIAP2L1,2,HGNC:21649,OTTHUMG00000165117.2
ENSG00000006459.11,HAVANA,gene,,,protein_coding,KDM7A,2,HGNC:22224,OTTHUMG00000157327.2
ENSG00000006468.14,HAVANA,gene,,,protein_coding,ETV1,1,HGNC:3490,OTTHUMG00000152403.7
ENSG00000006530.18,HAVANA,gene,,,protein_coding,AGK,2,HGNC:21869,OTTHUMG00000157499.2
ENSG00000006555.11,HAVANA,gene,,,protein_coding,TTC22,1,HGNC:26067,OTTHUMG00000009916.4
ENSG00000006576.16,HAVANA,gene,,,protein_coding,PHTF2,2,HGNC:13411,OTTHUMG00000155557.3
ENSG00000006606.9,HAVANA,gene,,,protein_coding,CCL26,2,HGNC:10625,OTTHUMG00000130403.2
ENSG00000006607.14,HAVANA,gene,,,protein_coding,FARP2,1,HGNC:16460,OTTHUMG00000151574.5
ENSG00000006611.17,HAVANA,gene,,,protein_coding,USH1C,2,HGNC:12597,OTTHUMG00000166323.3
ENSG00000006625.18,HAVANA,gene,,,protein_coding,GGCT,1,HGNC:21705,OTTHUMG00000128593.3
ENSG00000006634.8,HAVANA,gene,,,protein_coding,DBF4,2,HGNC:17364,OTTHUMG00000131034.7
ENSG00000006638.13,HAVANA,gene,,,protein_coding,TBXA2R,2,HGNC:11608,OTTHUMG00000180806.3
ENSG00000006652.15,HAVANA,gene,,,protein_coding,IFRD1,1,HGNC:5456,OTTHUMG00000155124.8
ENSG00000006659.13,HAVANA,gene,,,protein_coding,LGALS14,2,HGNC:30054,OTTHUMG00000183143.3
ENSG00000006695.12,HAVANA,gene,,,protein_coding,COX10,2,HGNC:2260,OTTHUMG00000058814.4
ENSG00000006704.11,HAVANA,gene,,,protein_coding,GTF2IRD1,1,HGNC:4661,OTTHUMG00000023782.4
ENSG00000006712.15,HAVANA,gene,,,protein_coding,PAF1,2,HGNC:25459,OTTHUMG00000182968.3
ENSG00000006715.16,HAVANA,gene,,,protein_coding,VPS41,1,HGNC:12713,OTTHUMG00000023629.8
ENSG00000006744.19,HAVANA,gene,,,protein_coding,ELAC2,1,HGNC:14198,OTTHUMG00000058764.16
ENSG00000006747.15,HAVANA,gene,,,protein_coding,SCIN,1,HGNC:21695,OTTHUMG00000152385.5
ENSG00000006756.16,HAVANA,gene,,,protein_coding,ARSD,1,HGNC:717,OTTHUMG00000021077.4
ENSG00000006757.12,HAVANA,gene,,,protein_coding,PNPLA4,2,HGNC:24887,OTTHUMG00000021103.3
ENSG00000006788.14,HAVANA,gene,,,protein_coding,MYH13,2,HGNC:7571,OTTHUMG00000177987.6
ENSG00000006831.10,HAVANA,gene,,,protein_coding,ADIPOR2,1,HGNC:24041,OTTHUMG00000130139.3
ENSG00000006837.12,HAVANA,gene,,,protein_coding,CDKL3,1,HGNC:15483,OTTHUMG00000186341.3
ENSG00000007001.13,HAVANA,gene,,,protein_coding,UPP2,2,HGNC:23061,OTTHUMG00000131969.3
ENSG00000007038.11,HAVANA,gene,,,protein_coding,PRSS21,2,HGNC:9485,OTTHUMG00000128931.3
ENSG00000007062.12,HAVANA,gene,,,protein_coding,PROM1,1,HGNC:9454,OTTHUMG00000160180.6
ENSG00000007080.11,HAVANA,gene,,,protein_coding,CCDC124,2,HGNC:25171,OTTHUMG00000183405.3
ENSG00000007129.18,HAVANA,gene,,,protein_coding,CEACAM21,2,HGNC:28834,OTTHUMG00000151062.9
ENSG00000007168.14,HAVANA,gene,,,protein_coding,PAFAH1B1,2,HGNC:8574,OTTHUMG00000177574.8
ENSG00000007171.18,HAVANA,gene,,,protein_coding,NOS2,2,HGNC:7873,OTTHUMG00000132445.3
ENSG00000007174.18,HAVANA,gene,,,protein_coding,DNAH9,1,HGNC:2953,OTTHUMG00000130383.9
ENSG00000007202.15,HAVANA,gene,,,protein_coding,KIAA0100,1,HGNC:28960,OTTHUMG00000166587.7
ENSG00000007237.19,HAVANA,gene,,,protein_coding,GAS7,2,HGNC:4169,OTTHUMG00000177945.15
ENSG00000007255.10,HAVANA,gene,,,protein_coding,TRAPPC6A,1,HGNC:23069,OTTHUMG00000181775.1
ENSG00000007264.15,HAVANA,gene,,,protein_coding,MATK,1,HGNC:6906,OTTHUMG00000180916.6
ENSG00000007306.15,HAVANA,gene,,,protein_coding,CEACAM7,2,HGNC:1819,OTTHUMG00000151063.4
ENSG00000007312.13,HAVANA,gene,,,protein_coding,CD79B,2,HGNC:1699,OTTHUMG00000172294.3
ENSG00000007314.12,HAVANA,gene,,,protein_coding,SCN4A,2,HGNC:10591,OTTHUMG00000179046.2
ENSG00000007341.19,HAVANA,gene,,,protein_coding,ST7L,2,HGNC:18441,OTTHUMG00000011753.8
ENSG00000007350.17,HAVANA,gene,,,protein_coding,TKTL1,1,HGNC:11835,OTTHUMG00000022707.9
ENSG00000007376.8,HAVANA,gene,,,protein_coding,RPUSD1,2,HGNC:14173,OTTHUMG00000047840.5
ENSG00000007384.15,HAVANA,gene,,,protein_coding,RHBDF1,1,HGNC:20561,OTTHUMG00000060719.15
ENSG00000007392.17,HAVANA,gene,,,protein_coding,LUC7L,1,HGNC:6723,OTTHUMG00000060730.12
ENSG00000007402.12,HAVANA,gene,,,protein_coding,CACNA2D2,2,HGNC:1400,OTTHUMG00000156887.4
ENSG00000007516.14,HAVANA,gene,,,protein_coding,BAIAP3,1,HGNC:948,OTTHUMG00000047833.5
ENSG00000007520.4,HAVANA,gene,,,protein_coding,TSR3,2,HGNC:14175,OTTHUMG00000047834.4
ENSG00000007541.17,HAVANA,gene,,,protein_coding,PIGQ,2,HGNC:14135,OTTHUMG00000168047.10
ENSG00000007545.16,HAVANA,gene,,,protein_coding,CRAMP1,2,HGNC:14122,OTTHUMG00000074087.8
ENSG00000007866.22,HAVANA,gene,,,protein_coding,TEAD3,2,HGNC:11716,OTTHUMG00000014571.6
ENSG00000007908.16,HAVANA,gene,,,protein_coding,SELE,1,HGNC:10718,OTTHUMG00000034851.9
ENSG00000007933.13,HAVANA,gene,,,protein_coding,FMO3,2,HGNC:3771,OTTHUMG00000035505.5
ENSG00000007944.15,HAVANA,gene,,,protein_coding,MYLIP,2,HGNC:21155,OTTHUMG00000016405.3
ENSG00000007952.18,HAVANA,gene,,,protein_coding,NOX1,2,HGNC:7889,OTTHUMG00000022007.2
ENSG00000007968.7,HAVANA,gene,,,protein_coding,E2F2,2,HGNC:3114,OTTHUMG00000003223.2
ENSG00000008018.9,HAVANA,gene,,,protein_coding,PSMB1,2,HGNC:9537,OTTHUMG00000016087.3
ENSG00000008056.14,HAVANA,gene,,,protein_coding,SYN1,2,HGNC:11494,OTTHUMG00000021454.5
ENSG00000008083.14,HAVANA,gene,,,protein_coding,JARID2,2,HGNC:6196,OTTHUMG00000014293.2
ENSG00000008086.13,HAVANA,gene,,,protein_coding,CDKL5,2,HGNC:11411,OTTHUMG00000021214.12
ENSG00000008118.10,HAVANA,gene,,,protein_coding,CAMK1G,1,HGNC:14585,OTTHUMG00000036361.5
ENSG00000008128.23,HAVANA,gene,,,protein_coding,CDK11A,2,HGNC:1730,OTTHUMG00000000703.16
ENSG00000008130.15,HAVANA,gene,,,protein_coding,NADK,2,HGNC:29831,OTTHUMG00000000942.6
ENSG00000008196.13,HAVANA,gene,,,protein_coding,TFAP2B,2,HGNC:11743,OTTHUMG00000014836.5
ENSG00000008197.5,HAVANA,gene,,,protein_coding,TFAP2D,2,HGNC:15581,OTTHUMG00000014832.1
ENSG00000008226.20,HAVANA,gene,,,protein_coding,DLEC1,2,HGNC:2899,OTTHUMG00000131085.19
ENSG00000008256.16,HAVANA,gene,,,protein_coding,CYTH3,2,HGNC:9504,OTTHUMG00000023440.4
ENSG00000008282.9,HAVANA,gene,,,protein_coding,SYPL1,1,HGNC:11507,OTTHUMG00000157587.2
ENSG00000008283.16,HAVANA,gene,,,protein_coding,CYB561,2,HGNC:2571,OTTHUMG00000179116.3
ENSG00000008300.17,HAVANA,gene,,,protein_coding,CELSR3,2,HGNC:3230,OTTHUMG00000133544.3
ENSG00000008324.12,HAVANA,gene,,,protein_coding,SS18L2,2,HGNC:15593,OTTHUMG00000131794.3
ENSG00000008382.16,HAVANA,gene,,,protein_coding,MPND,2,HGNC:25934,OTTHUMG00000181914.2
ENSG00000008394.13,HAVANA,gene,,,protein_coding,MGST1,1,HGNC:7061,OTTHUMG00000168816.5
ENSG00000008405.12,HAVANA,gene,,,protein_coding,CRY1,1,HGNC:2384,OTTHUMG00000170005.3
ENSG00000008438.5,HAVANA,gene,,,protein_coding,PGLYRP1,2,HGNC:8904,OTTHUMG00000182489.2
ENSG00000008513.16,HAVANA,gene,,,protein_coding,ST3GAL1,2,HGNC:10862,OTTHUMG00000164534.6
ENSG00000008710.20,HAVANA,gene,,,protein_coding,PKD1,1,HGNC:9008,OTTHUMG00000155795.6
ENSG00000008735.14,HAVANA,gene,,,protein_coding,MAPK8IP2,2,HGNC:6883,OTTHUMG00000150181.8
ENSG00000008869.12,HAVANA,gene,,,protein_coding,HEATR5B,1,HGNC:29273,OTTHUMG00000152158.2
ENSG00000008952.17,HAVANA,gene,,,protein_coding,SEC62,1,HGNC:11846,OTTHUMG00000158753.5
ENSG00000008988.11,HAVANA,gene,,,protein_coding,RPS20,1,HGNC:10405,OTTHUMG00000164297.1
ENSG00000009335.18,HAVANA,gene,,,protein_coding,UBE3C,2,HGNC:16803,OTTHUMG00000157239.2
ENSG00000009413.16,HAVANA,gene,,,protein_coding,REV3L,2,HGNC:9968,OTTHUMG00000016318.5
ENSG00000009694.13,HAVANA,gene,,,protein_coding,TENM1,2,HGNC:8117,OTTHUMG00000022721.1
ENSG00000009709.12,HAVANA,gene,,,protein_coding,PAX7,2,HGNC:8621,OTTHUMG00000002433.3
ENSG00000009724.17,HAVANA,gene,,,protein_coding,MASP2,2,HGNC:6902,OTTHUMG00000002121.2
ENSG00000009765.15,HAVANA,gene,,,protein_coding,IYD,2,HGNC:21071,OTTHUMG00000016347.4
ENSG00000009780.16,HAVANA,gene,,,protein_coding,FAM76A,1,HGNC:28530,OTTHUMG00000003729.4
