;seminoma vs non-seminoma Fold Change;seminoma vs non-seminoma pval;seminoma vs non-seminoma fdr;seminoma vs non-seminoma significant;embryonal vs seminoma Fold Change;embryonal vs seminoma pval;embryonal vs seminoma fdr;embryonal vs seminoma significant;embryonal vs non_embryonal_non_seminoma Fold Change;embryonal vs non_embryonal_non_seminoma pval;embryonal vs non_embryonal_non_seminoma fdr;embryonal vs non_embryonal_non_seminoma significant;teratoma vs non-teratoma Fold Change;teratoma vs non-teratoma pval;teratoma vs non-teratoma fdr;teratoma vs non-teratoma significant;KIT-mutated seminoma vs KIT-wildtype seminoma Fold Change;KIT-mutated seminoma vs KIT-wildtype seminoma pval;KIT-mutated seminoma vs KIT-wildtype seminoma fdr;KIT-mutated seminoma vs KIT-wildtype seminoma significant
hsa-mir-1269b, mature,MIMAT0019059;-1.1216211416906863;0.013585196967207343;0.018504939078788602;True;;;;;-3.968317864864984;0.05743998080061794;0.08145177605333528;False;13.694083260254867;0.17062646464183676;0.24292581406634386;False;;;;
hsa-mir-127, mature,MIMAT0000446;1.313817905284035;0.0005917128766094932;0.0009416200103737609;True;1.1621154080096634;0.33534705935966214;0.39299838313470853;False;-1.2791725663374096;0.11458150195946054;0.15074220409875796;False;1.2587408200808918;0.264756781782267;0.3382444056229723;False;-1.7521327980393342;0.002569831324741917;0.010279325298967667;True
hsa-mir-127, mature,MIMAT0004604;1.7808617763175403;0.00035314599878054375;0.00058154888356398;True;1.2547296235007988;0.7107415199944369;0.7427125918280967;False;-1.4744609225966607;0.02051234319572998;0.03496192485577622;True;2.5020460938365354;0.12416932370278133;0.19226217863656464;False;-1.5830642385480307;0.00014722175351305716;0.0013347503215553884;True
hsa-mir-1270, mature,MIMAT0005924;;;;;;;;;;;;;;;;;;;;
hsa-mir-1271, mature,MIMAT0005796;;;;;;;;;;;;;;;;;;;;
hsa-mir-1272, mature,MIMAT0005925;;;;;;;;;;;;;;;;;;;;
hsa-mir-1273a, mature,MIMAT0005926;;;;;;;;;;;;;;;;;;;;
hsa-mir-1273c, mature,MIMAT0015017;;;;;;;;;;;;;;;;;;;;
hsa-mir-1273h, mature,MIMAT0030416;;;;;;;;;;;;;;;;;;;;
hsa-mir-1275, mature,MIMAT0005929;;;;;;;;;;;;;;;;;;;;
hsa-mir-1276, mature,MIMAT0005930;;;;;;;;;;;;;;;;;;;;
hsa-mir-1277, mature,MIMAT0005933;;;;;;;;;;;;;;;;;;;;
hsa-mir-1277, mature,MIMAT0022724;;;;;;;;;;;;;;;;;;;;
hsa-mir-1278, mature,MIMAT0005936;;;;;;;;;;;;;;;;;;;;
hsa-mir-128-1, mature,MIMAT0000424;-1.586503857113102;0.00046738261454507343;0.0007583512030118594;True;-2.131178601836383;3.22536015533723e-11;1.082287518790937e-09;True;-2.0366564556312894;0.0019121243224210099;0.005654658252629652;True;-1.2320096769124889;0.8032603016313458;0.8279001881844545;False;-1.13252362975668;0.8928138137330086;0.9335646517042248;False
hsa-mir-128-1, mature,MIMAT0026477;;;;;;;;;;;;;;;;;;;;
hsa-mir-128-2, mature,MIMAT0031095;;;;;;;;;;;;;;;;;;;;
hsa-mir-1281, mature,MIMAT0005939;;;;;;;;;;;;;;;;;;;;
hsa-mir-1283-1, mature,MIMAT0005799;16.86863996985822;1.1852704974879223e-07;4.615582760805909e-07;True;28.504654041835288;1.3050666332239745e-05;6.680171580231191e-05;True;46.281931749141215;2.1661056571339032e-05;0.00024176534108655824;True;;;;;;;;
hsa-mir-1284, mature,MIMAT0005941;;;;;;;;;;;;;;;;;;;;
hsa-mir-1285-1, mature,MIMAT0005876;;;;;;;;;;;;;;;;;;;;
hsa-mir-1286, mature,MIMAT0005877;;;;;;;;;;;;;;;;;;;;
